gRNA	HL60.initial
AHNAK_p62303551	35
AHRR_m344006	235
AHRR_m344069	283
AHRR_m353878	1
AHRR_m353892	239
AHRR_m353898	382
AHRR_p344008	171
AHRR_p344030	501
AHRR_p344036	230
AHRR_p344042	837
AHRR_p353901	673
AHR_m17338889	648
AHR_m17338907	1483
AHR_m17338922	50
AHR_m17349569	312
AHR_m17349574	316
AHR_m17349599	118
AHR_p17338910	850
AHR_p17349560	578
AHR_p17349585	356
AHR_p17349613	996
AIF1_m31583902	308
AIF1_m31584119	848
AIF1_m31584132	621
AIF1_m31584164	359
AIF1_m31584175	105
AIF1_p31583885	727
AIF1_p31583891	74
AIF1_p31584124	1389
AIF1_p31584134	220
AIF1_p31584178	159
AIFM1_m129299534	1273
AIFM1_m129299540	1150
AIFM1_m129299570	609
AIFM1_m129299604	264
AIFM1_m129299611	238
AIFM1_m129299616	415
AIFM1_m129299624	635
AIFM1_p129299543	127
AIFM1_p129299555	1306
AIFM1_p129299590	0
AIFM3_m21322233	645
AIFM3_m21322251	495
AIFM3_m21322256	598
AIFM3_p21322217	591
AIFM3_p21322241	411
AIFM3_p21327593	606
AIFM3_p21327608	293
AIFM3_p21327615	691
AIFM3_p21327620	783
AIFM3_p21327632	1633
AIM2_m159038473	582
AIM2_m159043029	616
AIM2_m159043231	846
AIM2_m159043249	744
AIM2_m159043254	789
AIM2_m159043273	651
AIM2_p159038409	647
AIM2_p159038433	311
AIM2_p159038439	375
AIM2_p159043160	1070
AIMP1_m107249252	485
AIMP1_m107249322	66
AIMP1_p107246177	121
AIMP1_p107246187	732
AIMP1_p107246195	441
AIMP1_p107248680	1084
AIMP1_p107249260	297
AIMP1_p107249309	474
AIMP1_p107252880	0
AIMP1_p107252893	612
AIMP2_m6049078	332
AIMP2_m6049122	365
AIMP2_m6054790	625
AIMP2_m6054868	286
AIMP2_m6054873	564
AIMP2_m6054890	554
AIMP2_p6049089	1450
AIMP2_p6054842	401
AIMP2_p6054880	401
AIMP2_p6054904	504
AIPL1_m6330313	138
AIPL1_m6330344	400
AIPL1_m6338338	200
AIPL1_m6338394	557
AIPL1_m6338399	522
AIPL1_p6330316	464
AIPL1_p6330334	136
AIPL1_p6330346	333
