gRNA	HL60.final
AEN_m89169500	1175
AEN_m89169507	528
AEN_m89169544	800
AEN_p89169516	2722
AEN_p89169534	2356
AES_m3056311	1414
AES_m3056337	1812
AES_m3057678	1183
AES_m3057717	1487
AES_m3061159	1586
AES_m3061215	1912
AES_p3056318	1264
AES_p3061179	179
AES_p3061186	269
AES_p3061195	1323
AFAP1L2_m116092987	1008
AFAP1L2_m116093045	1193
AFAP1L2_m116100394	1363
AFAP1L2_m116100466	775
AFAP1L2_p116092995	1418
AFAP1L2_p116100376	593
AFAP1L2_p116100409	3685
AFAP1L2_p116100418	1090
AFAP1L2_p116100433	549
AFAP1L2_p116164194	961
AFF1_m87967374	270
AFF1_m87967382	229
AFF1_m87967432	234
AFF1_m87967920	1733
AFF1_m87967978	595
AFF1_p87967338	1309
AFF1_p87967353	1522
AFF1_p87967869	1911
AFF1_p87967890	835
AFF1_p87967926	2082
AFF2_m147891407	431
AFF2_m147891412	1329
AFF2_m147891420	183
AFF2_m147924509	50
AFF2_m147924918	1261
AFF2_m147924923	588
AFF2_m147967463	1474
AFF2_m147967470	1417
AFF2_p147891422	593
AFF2_p147967406	2176
AFF3_m100623802	207
AFF3_m100623914	178
AFF3_m100625275	962
AFF3_m100625319	1515
AFF3_m100625326	825
AFF3_m100625363	801
AFF3_p100623773	2494
AFF3_p100623814	968
AFF3_p100623867	1053
AFF3_p100623873	690
AFF4_m132272813	1198
AFF4_m132272826	3211
AFF4_m132272833	1731
AFF4_m132272841	448
AFF4_m132272866	2232
AFF4_p132272747	115
AFF4_p132272762	1139
AFF4_p132272771	1818
AFF4_p132272844	1920
AFF4_p132272853	1400
AFMID_m76183481	978
AFMID_m76183493	349
AFMID_m76187074	803
AFMID_m76187079	866
AFMID_p76183445	1487
AFMID_p76183450	962
AFMID_p76183465	504
AFMID_p76183473	1321
AFMID_p76187060	1105
AFMID_p76187082	1274
AFTPH_m64778617	385
AFTPH_m64778646	1310
AFTPH_m64778724	168
AFTPH_m64778773	367
AFTPH_m64778841	1696
AFTPH_m64778905	981
AFTPH_p64778649	2103
AFTPH_p64778713	2447
AFTPH_p64778754	1208
AFTPH_p64778890	581
AGAP2_m58128438	1856
AGAP2_m58128444	3114
AGAP2_m58128454	1423
AGAP2_m58129187	1675
AGAP2_m58129192	1625
AGAP2_p58128423	635
AGAP2_p58129143	1256
AGAP2_p58129148	986
AGAP2_p58129153	403
