gRNA	KBM7.final
AHRR_p344030	803
AHRR_p344036	114
AHRR_p344042	1652
AHRR_p353901	2365
AHR_m17338889	1131
AHR_m17338907	3911
AHR_m17338922	123
AHR_m17349569	2647
AHR_m17349574	590
AHR_m17349599	1524
AHR_p17338910	1075
AHR_p17349560	2229
AHR_p17349585	596
AHR_p17349613	1937
AIF1_m31583902	2212
AIF1_m31584119	1471
AIF1_m31584132	2469
AIF1_m31584164	894
AIF1_m31584175	106
AIF1_p31583885	1335
AIF1_p31583891	648
AIF1_p31584124	2297
AIF1_p31584134	802
AIF1_p31584178	279
AIFM1_m129299534	1291
AIFM1_m129299540	2905
AIFM1_m129299570	1308
AIFM1_m129299604	1905
AIFM1_m129299611	905
AIFM1_m129299616	251
AIFM1_m129299624	752
AIFM1_p129299543	1
AIFM1_p129299555	989
AIFM1_p129299590	1021
AIFM3_m21322233	850
AIFM3_m21322251	1038
AIFM3_m21322256	1869
AIFM3_p21322217	1508
AIFM3_p21322241	359
AIFM3_p21327593	1311
AIFM3_p21327608	1022
AIFM3_p21327615	1041
