sgRNA	Count
ANKK1_12_10818	76
ANKK1_12_5409	85
ANKK1_12_9015	69
ANKK1_13_10818	73
ANKK1_13_1803	243
APAF1_112_12898	63
APAF1_171_12898	64
APAF1_172_12898	18
APAF1_174_12898	28
APAF1_19_12898	171
APAF1_22_12898	113
APAF1_24_12898	84
APAF1_53_12898	44
APAF1_54_12898	10
APAF1_56_12898	120
APAF1_76_12898	73
APAF1_81_12898	0
APAF1_83_12898	24
APPL1_0_13066	0
APPL1_0_6533	0
APPL1_101_13066	167
APPL1_102_13066	35
APPL1_104_0	38
APPL1_108_13066	53
APPL1_118_0	7
APPL1_11_19599	146
APPL1_123_0	33
APPL1_124_0	82
APPL1_125_0	290
APPL1_126_0	157
APPL1_12_19599	74
APPL1_132_0	313
APPL1_14_26132	32
ARAF_0_0	36
ARAF_0_1541	13
ARAF_0_3082	31
ARAF_0_7705	20
ARAF_0_9246	134
ARAF_10_1541	119
ARAF_10_9246	72
ARAF_11_0	30
ARAF_11_1541	209
ARAF_12_1541	99
ARAF_12_3082	22
ARAF_13_1541	24
ARAF_13_7705	134
ARAF_14_1541	224
ARAF_15_3082	0
ARAF_15_9246	35
ASB14_0_10428	13
ASB14_0_13904	40
ASB14_0_20856	81
ASB14_10_3476	0
ASB14_11_13904	139
ASB14_12_17380	9
ASB14_12_20856	119
ASB14_12_6952	80
ASB14_13_13904	99
ASB14_13_17380	210
ASB14_14_13904	289
ASB14_14_17380	42
ASB14_14_3476	4
ASB14_14_6952	57
ASB14_15_17380	74
ATM_0_20946	251
ATM_104_62838	188
ATM_106_0	6
ATM_106_41892	0
ATM_107_41892	143
ATM_108_62838	51
ATM_109_0	115
ATM_109_62838	122
ATM_10_0	87
ATM_113_20946	22
ATM_114_20946	0
ATM_116_20946	57
ATM_117_0	71
ATM_117_41892	166
ATM_118_0	90
ATM_119_0	28
ATR_0_0	676
ATR_0_37026	0
ATR_0_74052	90
ATR_101_74052	9
ATR_102_0	36
ATR_103_0	71
ATR_105_92565	149
ATR_107_92565	2
ATR_108_92565	53
ATR_109_37026	41
ATR_109_92565	70
ATR_110_37026	281
ATR_111_0	63
ATR_111_111078	73
ATR_111_37026	109
ATR_112_37026	195
AURKA_0_0	122
AURKA_101_19668	193
AURKA_104_19668	147
AURKA_10_13112	264
AURKA_116_19668	130
AURKA_11_0	163
AURKA_11_16390	103
AURKA_11_19668	100
AURKA_12_16390	122
AURKA_12_19668	23
AURKA_13_13112	232
AURKA_13_16390	0
AURKA_13_6556	22
AURKA_14_19668	58
AURKA_15_13112	78
AURKB_0_0	261
AURKB_0_1674	3
AURKB_0_2511	218
AURKB_0_5022	36
AURKB_0_837	24
AURKB_10_0	56
AURKB_10_1674	57
AURKB_10_2511	36
AURKB_10_3348	208
AURKB_10_5022	7
AURKB_11_1674	79
AURKB_11_2511	33
AURKB_11_4185	43
AURKB_11_5022	214
AURKB_11_837	15
AURKB_12_0	154
AURKC_0_0	31
AURKC_0_1296	130
AURKC_0_1944	104
AURKC_0_3888	259
AURKC_0_648	42
AURKC_10_0	33
AURKC_10_1296	167
AURKC_10_1944	43
AURKC_10_3240	59
AURKC_10_3888	35
AURKC_10_648	291
AURKC_11_0	72
AURKC_11_1296	174
AURKC_11_1944	74
AURKC_11_3240	97
AVPR1A_0_1630	0
AVPR1A_0_2445	5
AVPR1A_0_3260	3
AVPR1A_0_4075	4
AVPR1A_0_4890	44
AVPR1A_0_815	7
AVPR1A_10_4890	37
AVPR1A_10_815	42
AVPR1A_11_0	51
